state,district,month,bio_age_5_17,bio_age_17_,total_bio_updates,child_bio_ratio,adult_bio_ratio,bio_risk_score,month_name
Andaman and Nicobar Islands,Andamans,2025-03,16,193,209,0.07655502392344497,0.9234449760765551,0.330622009569378,March
Andaman and Nicobar Islands,Andamans,2025-04,17,167,184,0.09239130434782608,0.907608695652174,0.33695652173913043,April
Andaman and Nicobar Islands,Andamans,2025-05,22,158,180,0.12222222222222222,0.8777777777777778,0.34888888888888886,May
Andaman and Nicobar Islands,Andamans,2025-06,11,129,140,0.07857142857142857,0.9214285714285714,0.3314285714285714,June
Andaman and Nicobar Islands,Andamans,2025-07,20,239,259,0.07722007722007722,0.9227799227799228,0.33088803088803087,July
Andaman and Nicobar Islands,Andamans,2025-09,76,241,317,0.23974763406940064,0.7602523659305994,0.39589905362776023,September
Andaman and Nicobar Islands,Andamans,2025-10,43,139,182,0.23626373626373626,0.7637362637362637,0.39450549450549444,October
Andaman and Nicobar Islands,Andamans,2025-11,48,174,222,0.21621621621621623,0.7837837837837838,0.3864864864864865,November
Andaman and Nicobar Islands,Andamans,2025-12,90,232,322,0.2795031055900621,0.7204968944099379,0.4118012422360248,December
Andaman and Nicobar Islands,Nicobar,2025-03,178,101,279,0.6379928315412187,0.36200716845878134,0.5551971326164874,March
Andaman and Nicobar Islands,Nicobar,2025-04,151,117,268,0.5634328358208955,0.43656716417910446,0.5253731343283582,April
Andaman and Nicobar Islands,Nicobar,2025-05,34,50,84,0.40476190476190477,0.5952380952380952,0.46190476190476193,May
Andaman and Nicobar Islands,Nicobar,2025-06,61,75,136,0.4485294117647059,0.5514705882352942,0.4794117647058823,June
Andaman and Nicobar Islands,Nicobar,2025-07,95,147,242,0.3925619834710744,0.6074380165289256,0.4570247933884297,July
Andaman and Nicobar Islands,Nicobar,2025-09,93,155,248,0.375,0.625,0.44999999999999996,September
Andaman and Nicobar Islands,Nicobar,2025-10,36,63,99,0.36363636363636365,0.6363636363636364,0.44545454545454544,October
Andaman and Nicobar Islands,Nicobar,2025-11,132,58,190,0.6947368421052632,0.30526315789473685,0.5778947368421052,November
Andaman and Nicobar Islands,Nicobar,2025-12,212,53,265,0.8,0.2,0.6199999999999999,December
Andaman and Nicobar Islands,Nicobars,2025-09,1,0,1,1.0,0.0,0.7,September
Andaman and Nicobar Islands,Nicobars,2025-12,0,1,1,0.0,1.0,0.3,December
Andaman and Nicobar Islands,North And Middle Andaman,2025-03,470,347,817,0.5752753977968176,0.42472460220318237,0.5301101591187269,March
Andaman and Nicobar Islands,North And Middle Andaman,2025-04,623,348,971,0.6416065911431514,0.3583934088568486,0.5566426364572605,April
Andaman and Nicobar Islands,North And Middle Andaman,2025-05,272,250,522,0.5210727969348659,0.4789272030651341,0.5084291187739463,May
Andaman and Nicobar Islands,North And Middle Andaman,2025-06,292,453,745,0.3919463087248322,0.6080536912751678,0.45677852348993286,June
Andaman and Nicobar Islands,North And Middle Andaman,2025-07,351,648,999,0.35135135135135137,0.6486486486486487,0.44054054054054054,July
Andaman and Nicobar Islands,North And Middle Andaman,2025-09,559,187,746,0.7493297587131368,0.25067024128686327,0.5997319034852547,September
Andaman and Nicobar Islands,North And Middle Andaman,2025-10,303,108,411,0.7372262773722628,0.26277372262773724,0.594890510948905,October
Andaman and Nicobar Islands,North And Middle Andaman,2025-11,467,114,581,0.8037865748709122,0.1962134251290878,0.6215146299483648,November
Andaman and Nicobar Islands,North And Middle Andaman,2025-12,443,148,591,0.7495769881556683,0.25042301184433163,0.5998307952622672,December
Andaman and Nicobar Islands,South Andaman,2025-03,948,450,1398,0.6781115879828327,0.3218884120171674,0.5712446351931331,March
Andaman and Nicobar Islands,South Andaman,2025-04,839,482,1321,0.6351249053747161,0.3648750946252839,0.5540499621498864,April
Andaman and Nicobar Islands,South Andaman,2025-05,654,455,1109,0.5897204688908927,0.4102795311091073,0.535888187556357,May
Andaman and Nicobar Islands,South Andaman,2025-06,481,442,923,0.5211267605633803,0.4788732394366197,0.5084507042253521,June
Andaman and Nicobar Islands,South Andaman,2025-07,629,699,1328,0.473644578313253,0.526355421686747,0.4894578313253012,July
Andaman and Nicobar Islands,South Andaman,2025-09,1069,372,1441,0.7418459403192228,0.25815405968077726,0.5967383761276892,September
