state,district,month,age_0_5,age_5_17,age_18_greater,total_enrollments,child_enrolment_ratio,teen_enrolment_ratio,adult_enrolment_ratio,risk_score
Andaman and Nicobar Islands,Andamans,2025-09,23,4,0,27,0.8518518518518519,0.14814814814814814,0.0,0.5555555555555555
Andaman and Nicobar Islands,Andamans,2025-10,15,0,0,15,1.0,0.0,0.0,0.6
Andaman and Nicobar Islands,Andamans,2025-11,13,0,0,13,1.0,0.0,0.0,0.6
Andaman and Nicobar Islands,Andamans,2025-12,19,1,0,20,0.95,0.05,0.0,0.585
Andaman and Nicobar Islands,Nicobar,2025-09,41,6,0,47,0.8723404255319149,0.1276595744680851,0.0,0.5617021276595744
Andaman and Nicobar Islands,Nicobar,2025-10,6,4,0,10,0.6,0.4,0.0,0.48
Andaman and Nicobar Islands,Nicobar,2025-11,12,0,0,12,1.0,0.0,0.0,0.6
Andaman and Nicobar Islands,Nicobar,2025-12,5,1,0,6,0.8333333333333334,0.16666666666666666,0.0,0.55
Andaman and Nicobar Islands,Nicobars,2025-09,1,0,0,1,1.0,0.0,0.0,0.6
Andaman and Nicobar Islands,North And Middle Andaman,2025-09,38,2,0,40,0.95,0.05,0.0,0.585
Andaman and Nicobar Islands,North And Middle Andaman,2025-10,20,1,0,21,0.9523809523809523,0.047619047619047616,0.0,0.5857142857142856
Andaman and Nicobar Islands,North And Middle Andaman,2025-11,31,0,0,31,1.0,0.0,0.0,0.6
Andaman and Nicobar Islands,North And Middle Andaman,2025-12,39,1,0,40,0.975,0.025,0.0,0.5924999999999999
Andaman and Nicobar Islands,South Andaman,2025-09,69,4,0,73,0.9452054794520548,0.0547945205479452,0.0,0.5835616438356165
Andaman and Nicobar Islands,South Andaman,2025-10,33,3,0,36,0.9166666666666666,0.08333333333333333,0.0,0.575
Andaman and Nicobar Islands,South Andaman,2025-11,53,3,0,56,0.9464285714285714,0.05357142857142857,0.0,0.5839285714285714
Andaman and Nicobar Islands,South Andaman,2025-12,61,2,0,63,0.9682539682539683,0.031746031746031744,0.0,0.5904761904761904
Andhra Pradesh,Adilabad,2025-09,523,131,0,654,0.7996941896024465,0.20030581039755352,0.0,0.539908256880734
Andhra Pradesh,Adilabad,2025-10,236,71,1,308,0.7662337662337663,0.2305194805194805,0.003246753246753247,0.5292207792207791
Andhra Pradesh,Adilabad,2025-11,286,63,0,349,0.8194842406876791,0.18051575931232092,0.0,0.5458452722063037
Andhra Pradesh,Adilabad,2025-12,92,16,0,108,0.8518518518518519,0.14814814814814814,0.0,0.5555555555555555
Andhra Pradesh,Alluri Sitharama Raju,2025-09,332,47,8,387,0.8578811369509044,0.12144702842377261,0.020671834625323,0.5532299741602067
Andhra Pradesh,Alluri Sitharama Raju,2025-10,265,26,4,295,0.8983050847457628,0.08813559322033898,0.013559322033898305,0.5667796610169492
Andhra Pradesh,Alluri Sitharama Raju,2025-11,280,32,14,326,0.8588957055214724,0.09815950920245399,0.04294478527607362,0.549079754601227
Andhra Pradesh,Alluri Sitharama Raju,2025-12,228,11,8,247,0.9230769230769231,0.044534412955465584,0.032388663967611336,0.5704453441295547
Andhra Pradesh,Anakapalli,2025-09,146,4,0,150,0.9733333333333334,0.02666666666666667,0.0,0.592
Andhra Pradesh,Anakapalli,2025-10,86,4,0,90,0.9555555555555556,0.044444444444444446,0.0,0.5866666666666667
Andhra Pradesh,Anakapalli,2025-11,169,4,4,177,0.9548022598870056,0.022598870056497175,0.022598870056497175,0.5819209039548022
Andhra Pradesh,Anakapalli,2025-12,122,0,4,126,0.9682539682539683,0.0,0.031746031746031744,0.584126984126984
Andhra Pradesh,Anantapur,2025-09,1266,122,0,1388,0.9121037463976945,0.08789625360230548,0.0,0.5736311239193083
Andhra Pradesh,Anantapur,2025-10,979,80,0,1059,0.9244570349386213,0.07554296506137866,0.0,0.5773371104815863
Andhra Pradesh,Anantapur,2025-11,1232,88,0,1320,0.9333333333333333,0.06666666666666667,0.0,0.58
Andhra Pradesh,Anantapur,2025-12,612,36,0,648,0.9444444444444444,0.05555555555555555,0.0,0.5833333333333334
Andhra Pradesh,Ananthapur,2025-09,521,50,0,571,0.9124343257443083,0.08756567425569177,0.0,0.5737302977232925
Andhra Pradesh,Ananthapur,2025-10,418,39,0,457,0.9146608315098468,0.08533916849015317,0.0,0.574398249452954
Andhra Pradesh,Ananthapur,2025-11,476,34,0,510,0.9333333333333333,0.06666666666666667,0.0,0.58
Andhra Pradesh,Ananthapur,2025-12,428,28,0,456,0.9385964912280702,0.06140350877192982,0.0,0.581578947368421
Andhra Pradesh,Ananthapuramu,2025-09,917,52,4,973,0.9424460431654677,0.05344295991778006,0.0041109969167523125,0.5819116135662897
Andhra Pradesh,Ananthapuramu,2025-10,669,42,1,712,0.9396067415730337,0.05898876404494382,0.0014044943820224719,0.5816011235955055
Andhra Pradesh,Ananthapuramu,2025-11,829,41,3,873,0.9495990836197021,0.046964490263459335,0.003436426116838488,0.5841924398625429
Andhra Pradesh,Ananthapuramu,2025-12,603,24,2,629,0.958664546899841,0.03815580286168521,0.003179650238473768,0.5869634340222576
Andhra Pradesh,Annamayya,2025-09,244,14,48,306,0.7973856209150327,0.0457516339869281,0.1568627450980392,0.5078431372549019
Andhra Pradesh,Annamayya,2025-10,164,15,6,185,0.8864864864864865,0.08108108108108109,0.032432432432432434,0.5594594594594594
Andhra Pradesh,Annamayya,2025-11,250,11,30,291,0.8591065292096219,0.037800687285223365,0.10309278350515463,0.5371134020618555
Andhra Pradesh,Annamayya,2025-12,210,8,21,239,0.8786610878661087,0.03347280334728033,0.08786610878661087,0.5460251046025104
Andhra Pradesh,Bapatla,2025-09,113,18,3,134,0.8432835820895522,0.13432835820895522,0.022388059701492536,0.5485074626865671
Andhra Pradesh,Bapatla,2025-10,75,11,2,88,0.8522727272727273,0.125,0.022727272727272728,0.5511363636363636
Andhra Pradesh,Bapatla,2025-11,133,13,6,152,0.875,0.08552631578947369,0.039473684210526314,0.5546052631578947
Andhra Pradesh,Bapatla,2025-12,100,13,5,118,0.847457627118644,0.11016949152542373,0.0423728813559322,0.5457627118644067
Andhra Pradesh,Chittoor,2025-09,2314,246,12,2572,0.8996889580093312,0.09564541213063764,0.004665629860031105,0.5689735614307931
Andhra Pradesh,Chittoor,2025-10,1618,165,5,1788,0.9049217002237137,0.09228187919463088,0.002796420581655481,0.570917225950783
Andhra Pradesh,Chittoor,2025-11,2143,170,13,2326,0.9213241616509028,0.07308684436801376,0.005588993981083405,0.5752794496990541
Andhra Pradesh,Chittoor,2025-12,1418,78,13,1509,0.9396951623591783,0.05168986083499006,0.008614976805831677,0.5801855533465871
Andhra Pradesh,Cuddapah,2025-09,1561,162,0,1723,0.905977945443993,0.09402205455600697,0.0,0.5717933836331979
Andhra Pradesh,Cuddapah,2025-10,1206,83,0,1289,0.9356089992242048,0.0643910007757952,0.0,0.5806826997672615
Andhra Pradesh,Cuddapah,2025-11,1604,115,1,1720,0.9325581395348838,0.06686046511627906,0.0005813953488372093,0.5796511627906976
Andhra Pradesh,Cuddapah,2025-12,1148,53,1,1202,0.9550748752079867,0.04409317803660566,0.0008319467554076539,0.5863560732113144
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09,199,12,9,220,0.9045454545454545,0.05454545454545454,0.04090909090909091,0.5631818181818182
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10,99,9,1,109,0.908256880733945,0.08256880733944955,0.009174311926605505,0.5706422018348624
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11,179,7,4,190,0.9421052631578948,0.03684210526315789,0.021052631578947368,0.5784210526315788
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12,141,2,3,146,0.9657534246575342,0.0136986301369863,0.02054794520547945,0.5856164383561644
Andhra Pradesh,East Godavari,2025-09,2291,209,3,2503,0.9153016380343588,0.08349980023971235,0.0011985617259288853,0.5743507790651219
Andhra Pradesh,East Godavari,2025-10,1361,126,1,1488,0.9146505376344086,0.0846774193548387,0.0006720430107526882,0.5742607526881721
Andhra Pradesh,East Godavari,2025-11,2041,116,5,2162,0.9440333024976874,0.05365402405180388,0.002312673450508788,0.5827474560592044
Andhra Pradesh,East Godavari,2025-12,1468,56,1,1525,0.9626229508196721,0.036721311475409836,0.0006557377049180328,0.588655737704918
Andhra Pradesh,Eluru,2025-09,165,16,1,182,0.9065934065934066,0.08791208791208792,0.005494505494505495,0.5708791208791208
Andhra Pradesh,Eluru,2025-10,100,10,1,111,0.9009009009009009,0.09009009009009009,0.009009009009009009,0.5684684684684684
Andhra Pradesh,Eluru,2025-11,180,13,10,203,0.8866995073891626,0.06403940886699508,0.04926108374384237,0.5561576354679804
Andhra Pradesh,Eluru,2025-12,123,6,4,133,0.924812030075188,0.045112781954887216,0.03007518796992481,0.5714285714285714
Andhra Pradesh,Guntur,2025-09,2402,337,9,2748,0.8740902474526928,0.12263464337700146,0.0032751091703056767,0.5615720524017466
Andhra Pradesh,Guntur,2025-10,1514,219,1,1734,0.8731257208765859,0.12629757785467127,0.0005767012687427913,0.5618223760092271
Andhra Pradesh,Guntur,2025-11,2698,257,14,2969,0.9087234759178174,0.08656113169417312,0.004715392388009431,0.5716739642977433
Andhra Pradesh,Guntur,2025-12,2155,112,11,2278,0.9460052677787533,0.04916593503072871,0.004828797190517998,0.5828358208955223
Andhra Pradesh,Hyderabad,2025-09,1151,339,1,1491,0.7719651240778002,0.22736418511066397,0.0006706908115358819,0.5314553990610329
Andhra Pradesh,Hyderabad,2025-10,967,280,0,1247,0.7754611066559743,0.22453889334402566,0.0,0.5326383319967922
Andhra Pradesh,Hyderabad,2025-11,1083,284,0,1367,0.7922457937088515,0.2077542062911485,0.0,0.5376737381126554
Andhra Pradesh,Hyderabad,2025-12,630,105,0,735,0.8571428571428571,0.14285714285714285,0.0,0.557142857142857
Andhra Pradesh,K.V.Rangareddy,2025-09,26,3,0,29,0.896551724137931,0.10344827586206896,0.0,0.5689655172413792
Andhra Pradesh,K.V.Rangareddy,2025-10,11,6,0,17,0.6470588235294118,0.35294117647058826,0.0,0.49411764705882355
Andhra Pradesh,K.V.Rangareddy,2025-11,12,3,0,15,0.8,0.2,0.0,0.54
Andhra Pradesh,K.V.Rangareddy,2025-12,6,2,0,8,0.75,0.25,0.0,0.5249999999999999
Andhra Pradesh,K.v. Rangareddy,2025-09,6,1,0,7,0.8571428571428571,0.14285714285714285,0.0,0.557142857142857
Andhra Pradesh,K.v. Rangareddy,2025-10,5,3,0,8,0.625,0.375,0.0,0.4875
Andhra Pradesh,K.v. Rangareddy,2025-11,1,0,0,1,1.0,0.0,0.0,0.6
Andhra Pradesh,K.v. Rangareddy,2025-12,3,0,0,3,1.0,0.0,0.0,0.6
Andhra Pradesh,Kakinada,2025-09,238,24,9,271,0.8782287822878229,0.08856088560885608,0.033210332103321034,0.5568265682656826
Andhra Pradesh,Kakinada,2025-10,169,28,2,199,0.8492462311557789,0.1407035175879397,0.010050251256281407,0.5527638190954774
Andhra Pradesh,Kakinada,2025-11,246,19,11,276,0.8913043478260869,0.06884057971014493,0.03985507246376811,0.5594202898550724
Andhra Pradesh,Kakinada,2025-12,205,13,5,223,0.9192825112107623,0.05829596412556054,0.02242152466367713,0.5713004484304932
Andhra Pradesh,Karim Nagar,2025-09,20,4,0,24,0.8333333333333334,0.16666666666666666,0.0,0.55
Andhra Pradesh,Karim Nagar,2025-10,21,4,0,25,0.84,0.16,0.0,0.552
Andhra Pradesh,Karim Nagar,2025-11,19,3,0,22,0.8636363636363636,0.13636363636363635,0.0,0.5590909090909091
Andhra Pradesh,Karim Nagar,2025-12,11,0,0,11,1.0,0.0,0.0,0.6
Andhra Pradesh,Karimnagar,2025-09,225,50,0,275,0.8181818181818182,0.18181818181818182,0.0,0.5454545454545454
Andhra Pradesh,Karimnagar,2025-10,143,24,0,167,0.8562874251497006,0.1437125748502994,0.0,0.5568862275449101
Andhra Pradesh,Karimnagar,2025-11,119,21,0,140,0.85,0.15,0.0,0.555
Andhra Pradesh,Karimnagar,2025-12,65,12,0,77,0.8441558441558441,0.15584415584415584,0.0,0.5532467532467532
Andhra Pradesh,Khammam,2025-09,340,119,0,459,0.7407407407407407,0.25925925925925924,0.0,0.5222222222222221
Andhra Pradesh,Khammam,2025-10,201,59,0,260,0.7730769230769231,0.22692307692307692,0.0,0.5319230769230769
Andhra Pradesh,Khammam,2025-11,227,72,0,299,0.7591973244147158,0.2408026755852843,0.0,0.5277591973244147
Andhra Pradesh,Khammam,2025-12,101,14,0,115,0.8782608695652174,0.12173913043478261,0.0,0.5634782608695652
